unieknr	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	geselecteerd_basis	geselecteerd_reserve
11499	631761_v2014	70% rbbmr; 30% gh	1	70	1	88	2	530	7917	0	1
11400	643337_v2014	100% rbbmr,bos	1	100	0	88	2	530	34061	0	1
11511	643430_v2014	100% rbbmr,bos	1	100	0	88	2	530	13141	0	1
1549	507101_v2018	95% 1330_da; 5% 1310_zk	2	5	1	5	1	565	54351	0	1
1557	570042_v2018	75% 1330_da; 20% 1310_zk; 5% 1140; 0% rbbah	2	20	1	5	1	565	9404	0	1
1562	570047_v2018	90% 1140; 10% 1310_zk	2	10	1	5	1	565	32505	0	1
1642	589255_v2014	95% 1330_da; 5% 1310_zk	2	5	1	5	1	565	11956	0	1
1626	589256_v2014	90% 1330_da; 10% 1310_zk	2	10	1	5	1	565	29947	0	1
1630	589329_v2014	80% 1330_da; 20% 1310_zk	2	20	1	5	1	565	22797	0	1
1594	589330_v2014	80% 1310_zk; 20% 1140	1	80	1	5	1	565	6717	0	1
1613	589397_v2014	50% 1330_da; 50% 1310_zk; 0% 1140	2	50	1	5	1	565	29965	0	1
