unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
94	NEIP001	128122	167393	57	4	NEI	Neigembos	2	1	1	1	3	1	0	0.31	1.79	0.5	1.23	4	2007	2010	4	3
95	NEIP002	128078	167410	57	4	NEI	Neigembos	2	1	1	1	3	1	0	0.45	1.55	0.5	0.85	4	2007	2010	4	3
96	NUCP004	119819	165933	217	3	NUC	De Nuchten	2	1	1	1	4	2	12.9034	13.3734	2.32	0.3	1.7	2	2008	2008	1	3
97	NUCP005	120097	165667	217	3	NUC	De Nuchten	2	1	1	1	5	4	12.7946	13.2946	2.45	0.3	1.8	2	2008	2008	1	3
98	ORCP002	139863	196974	745	3	ORC	De Orchis	2	1	1	1	4	2	4.82	4.92	0.94	0.3	0.69	2	2002	2002	1	3
99	ORCP003	139866	197010	745	3	ORC	De Orchis	2	1	1	1	4	2	4.81	4.87	0.86	0.3	0.65	2	2002	2002	1	3
100	PARP003	109730	163542	985	4	PAR	Parike-bos	2	1	1	1	3	1	54.05	54.27	2.45	0.5	1.98	4	2009	2016	5	3
101	POMP004	225109	178542	306	3	POM	De Pomperik	2	1	1	1	3	1	34.778	35.078	2.02	0.5	1.47	2	2009	2016	6	3
102	POMP005	225048	178511	306	3	POM	De Pomperik	2	1	1	1	3	1	34.981	35.181	2.031	0.5	1.581	2	2009	2016	7	3
103	RASP001	120085	162768	217	4	RAS	Raspaillebos	2	1	1	1	3	1	68.994	69.404	2.98	0.5	2.32	4	2003	2016	3	3
104	RASP002	120111	162861	217	4	RAS	Raspaillebos	2	1	1	1	3	1	56.155	56.755	1.66	0.5	0.81	4	2003	2016	4	3
105	RASP003	120002	163028	217	4	RAS	Raspaillebos	2	1	1	1	3	1	40.612	40.862	1.57	0.5	1.07	4	2003	2016	7	3
106	ROTP003	200403	185618	166	2	ROT	Rotbroek	2	1	1	1	3	1	19.306	19.546	1.68	0.3	1.29	3	2014	2016	3	3
107	SANP006	216032	191815	694	1	SAN	Schansbeemden	2	1	1	1	4	2	36.53	36.79	2.4	0.3	1.99	5	NA	NA	0	3
108	SBBP002	109983	170962	89	4	SBB	Steenbergse bossen	2	1	1	1	4	2	51.227	52.147	2.26	0.3	1.19	4	2003	2003	1	3
109	SCPP021	204705	204248	886	3	SCP	Scheps	2	1	1	1	4	2	28.057	28.487	2.01	0	1.58	2	2008	2014	7	3
110	SCPP024	206720	204096	886	3	SCP	Scheps	2	1	1	1	3	1	30.309	30.899	1.86	0	1.27	2	2006	2012	7	3
111	SCPP025	206960	204244	886	2	SCP	Scheps	2	1	1	1	1	6	30.348	31.348	2.53	0	1.53	3	2006	2011	6	3
112	SCPP033	205281	204334	886	3	SCP	Scheps	2	1	1	1	3	1	28.721	29.231	2.03	0	1.52	2	2008	2014	7	3
113	SCPP034	205513	204333	886	2	SCP	Scheps	2	1	1	1	3	1	28.688	29.538	1.98	0	1.13	3	2008	2014	7	3
114	SCPP035	205616	204216	886	3	SCP	Scheps	2	1	1	1	3	1	28.956	29.336	1.82	0	1.44	2	2008	2014	7	3
115	SCPP036	205976	204000	886	3	SCP	Scheps	2	1	1	1	3	1	29.74	29.94	1.98	0	1.78	2	2008	2014	7	3
116	SCPP039	206669	204706	886	3	SCP	Scheps	2	1	1	1	3	1	30.22	30.8	2.28	0	1.7	2	2008	2014	7	3
117	SCPP040	206707	204679	886	3	SCP	Scheps	2	1	1	1	3	1	30.811	31.331	1.87	0	1.35	2	2008	2014	7	3
118	SCPP042	205315	204593	886	3	SCP	Scheps	2	1	1	1	3	1	29.23	29.69	1.87	0	1.41	2	2008	2014	7	3
119	SCPP043	207040	205023	886	2	SCP	Scheps	2	1	1	1	3	1	30.58	30.89	1.18	0	0.87	3	2008	2014	7	3
120	SCPP047	206640	204635	886	3	SCP	Scheps	2	1	1	1	3	1	30.541	31.651	2.51	0	1.4	2	2008	2014	6	3
121	SCPP050	207566	205767	886	3	SCP	Scheps	2	1	1	1	3	1	31.687	31.827	1.66	0	1.52	2	2008	2014	7	3
122	SCPP051	206919	205056	886	2	SCP	Scheps	2	1	1	1	3	1	30.547	31.147	2.59	0	1.99	3	2011	2014	4	3
123	SHHP031	226046	192220	722	3	SHH	Schietveld Houthalen Hechteren	2	1	1	1	3	1	76.01	76.69	1.72	0.3	0.89	2	2009	2016	5	3
124	SHHP032	226069	192196	722	3	SHH	Schietveld Houthalen Hechteren	2	1	1	1	3	1	76.15	76.75	2.11	0.5	1.26	2	2008	2016	7	3
125	SILP004	164843	178240	198	4	SIL	Silsombos	2	1	1	1	3	1	20.684	21.084	1.91	0.3	1.36	4	2002	2014	6	3
126	SNOP022	183102	169452	390	4	SNO	Snoekengracht	2	1	1	1	3	1	57.25	57.54	1.85	0.3	1.41	4	NA	NA	0	3
127	SNOP025	183238	169448	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.26	56.63	1.39	0.3	0.87	4	NA	NA	0	3
128	SNOP028	183331	169488	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.36	56.62	1.5	0.3	1.09	4	NA	NA	0	3
129	SNOP029	183348	169465	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.19	56.49	1.47	0.3	1.02	4	NA	NA	0	3
130	SNOP031	183313	169446	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.32	56.65	1.24	0.3	0.76	4	NA	NA	0	3
131	SNOP032	183056	169524	390	4	SNO	Snoekengracht	2	1	1	1	3	1	57.89	58.18	2.34	0.3	1.9	4	NA	NA	0	3
132	SNOP033	183103	169551	390	4	SNO	Snoekengracht	2	1	1	1	3	1	57.62	58.25	2.4	0.3	1.62	4	NA	NA	0	3
133	SNOP126	183237	169449	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.28	56.51	3.31	0.3	2.93	4	NA	NA	0	3
134	SNOP129	183331	169489	390	4	SNO	Snoekengracht	2	1	1	1	3	1	56.33	56.61	3.28	0.3	2.85	4	NA	NA	0	3
135	STAP050	242727	208039	146	1	STA	Stamprooierbroek incl de Zig &	2	1	1	1	3	1	32.213	33.223	2.99	0	1.98	5	2009	2016	8	3
136	TEUP019	222593	189365	722	3	TEU	De Teut	2	1	1	1	3	1	59.21	59.65	2.17	0.3	1.58	2	2010	2014	5	3
137	TEUP026	224931	188926	722	3	TEU	De Teut	2	1	1	1	3	1	63.471	63.551	1.48	0.3	1.25	2	2008	2016	9	3
138	TEUP028	224721	188606	722	1	TEU	De Teut	2	1	1	1	3	1	60.236	60.716	1.58	0.3	0.95	5	2008	2016	6	3
139	TEUP043	223696	188700	722	1	TEU	De Teut	2	1	1	1	3	1	59.753	60.053	1.86	0.3	1.41	5	2007	2016	10	3
140	TEUP044	223773	188744	722	1	TEU	De Teut	2	1	1	1	3	1	60.049	60.329	1.24	0.3	0.81	5	2008	2016	9	3
141	TEUP045	225036	188792	722	3	TEU	De Teut	2	1	1	1	3	1	62.007	62.697	1.73	0.3	0.89	2	2008	2014	7	3
142	TEUP046	225067	188690	722	1	TEU	De Teut	2	1	1	1	3	1	60.338	60.838	1.69	0.3	1.04	5	2008	2016	7	3
143	TEUP047	225211	188652	722	1	TEU	De Teut	2	1	1	1	3	1	60.874	61.304	1.6	0.3	1.02	5	2008	2016	9	3
144	TIEP013	188220	218314	1014	1	TIE	Militair domein Tielen	2	1	1	1	3	1	17.935	18.685	2.91	0.3	2.01	5	2006	2006	1	3
145	TLAP001	213998	188072	694	1	TLA	Terlaemen & Weijerman	2	1	1	1	4	2	32.213	32.923	2.98	0.3	2.12	5	NA	NA	0	3
146	TLAP002	214024	187912	694	1	TLA	Terlaemen & Weijerman	2	1	1	1	4	2	32.576	33.076	1.28	0.3	0.63	5	NA	NA	0	3
147	TLAP003	214025	187912	694	1	TLA	Terlaemen & Weijerman	2	1	1	1	4	2	32.583	33.033	1.91	0.3	1.31	5	NA	NA	0	3
148	TORP018	162023	179712	198	4	TOR	Torfbroek	2	1	1	1	3	1	16.313	16.963	1.07	0.3	0.27	4	2005	2016	12	3
149	TYDP004	33126	203530	817	4	TYD	Ter Yde	2	1	1	1	1	6	5.911	6.531	2.901	1	1.781	4	2004	2012	7	3
150	TYDP012	33155	203402	817	4	TYD	Ter Yde	2	1	1	1	3	1	5.94	6.23	2.94	0.3	2.5	4	2004	2012	8	3
151	TYDP054	32617	203691	817	4	TYD	Ter Yde	2	1	1	1	3	1	7.14	7.16	3.09	0.5	2.82	4	2003	2016	10	3
152	TYDP055	32743	203672	817	4	TYD	Ter Yde	2	1	1	1	4	2	6.862	6.762	1.46	0.4	1.36	4	2003	2012	9	3
153	TYDP057	32283	204089	817	4	TYD	Ter Yde	2	1	1	1	3	1	6.049	6.139	2.135	0.5	1.795	4	2003	2012	7	3
154	TYDP058	32486	203672	817	4	TYD	Ter Yde	2	1	1	1	4	2	6.706	6.726	1.98	0.5	1.71	4	2003	2012	9	3
155	TYDP059	32669	203788	817	4	TYD	Ter Yde	2	1	1	1	3	1	6.54	6.44	1.84	0.5	1.69	4	2003	2016	9	3
156	TYDP072	33571	203880	817	4	TYD	Ter Yde	2	1	1	1	3	1	5.61	5.51	1.575	0.3	1.525	4	2003	2016	9	3
157	TYDP203	33046	203477	817	4	TYD	Ter Yde	2	1	1	1	4	2	5.788	5.858	1.47	0.43	1.185	4	2005	2016	7	3
158	TYDP204	33222	203448	817	4	TYD	Ter Yde	2	1	1	1	3	1	5.51	5.6	2.13	0.5	1.79	4	2005	2016	8	3
159	TYDP206	33673	203910	817	4	TYD	Ter Yde	2	1	1	1	4	2	5.25	5.39	1.83	0.45	1.465	4	2005	2012	7	3
160	TYDP207	33614	203986	817	4	TYD	Ter Yde	2	1	1	1	3	1	5.524	5.524	1.32	0.48	1.08	4	2005	2012	7	3
