loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ABEP131	ABE	Abeek	243044	207218	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27213	50% 91E0_vm; 50% 9190	1	50	1	104	1	146	52370	2.42	32.78	50% 91E0_vm; 50% 9190	habitatmap_stdized	habitatmap_stdized	11
ABEP131	ABE	Abeek	243044	207218	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27213	50% 91E0_vm; 50% 9190	2	50	1	99	5	146	52370	2.42	32.78	50% 91E0_vm; 50% 9190	habitatmap_stdized	habitatmap_stdized	15
ABEP133	ABE	Abeek	245756	206792	ENT	Ingegeven	P	Peilbuis/Piëzometer	44327	100% rbbmr	1	100	1	88	2	402	6334	2.68	33.33	100% rbbmr	habitatmap_stdized	habitatmap_stdized	12
AHRP007	AHR	Antwerpse haven rechteroever	145765	225074	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27320	80% gh; 20% rbbmr	2	20	1	88	2	957	59882	1.699	3.759	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
AHRP008	AHR	Antwerpse haven rechteroever	145766	225074	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27320	80% gh; 20% rbbmr	2	20	1	88	2	957	59882	2.152	3.692	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
AHRP009	AHR	Antwerpse haven rechteroever	145901	224859	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27320	80% gh; 20% rbbmr	2	20	1	88	2	957	59882	2.048	3.938	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
AHRP010	AHR	Antwerpse haven rechteroever	145900	224859	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27320	80% gh; 20% rbbmr	2	20	1	88	2	957	59882	2.993	4.033	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ALMP001	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109770	185010	VLD	Gevalideerd	P	Peilbuis/Piëzometer	64199	100% 91E0_va	1	100	1	102	4	601	8585	1.59	14.68	100% 91E0_va	habitatmap_stdized	habitatmap_stdized	14
ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60918	100% 91E0_va	1	100	1	102	4	601	13491	1.2	13.8	100% 91E0_va	habitatmap_stdized	habitatmap_stdized	14
ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	VLD	Gevalideerd	P	Peilbuis/Piëzometer	51016	100% 9130_end	1	100	1	95	4	601	28575	0.85	18.33	100% 9130_end	habitatmap_stdized	habitatmap_stdized	14
