loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	68.959	60294	65% 6230_hmo; 35% 4010	3108	1	2	35	1	38	habitatmap_stdized	3	13	1010	1518
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	68.959	60465	70% 91E0_vo; 30% rbbsm	3846	1	1	70	1	106	habitatmap_stdized	1	11	1010	5761
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	68.959	60465	70% 91E0_vo; 30% rbbsm	3846	1	2	30	1	41	habitatmap_stdized	3	13	1010	5761
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.1	75.931	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2666	1	1	60	1	68	habitatmap_stdized	3	13	1010	67966
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.1	75.931	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2666	1	2	20	1	87	habitatmap_stdized	2	12	1010	67966
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.1	75.931	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2666	1	3	10	1	80	habitatmap_stdized	1	11	1010	67966
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.1	75.931	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2666	1	4	10	1	51	habitatmap_stdized	4	14	1010	67966
ASBP004	ASB	Asbeek	239164	178996	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.56	74.884	36890	70% gh; 30% 91E0_vo	4069	1	2	30	1	106	habitatmap_stdized	1	11	1010	7925
ASEP001	ASE	Assels	101168	191959	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.13	6.26	32112	80% gh; 20% rbbhc	5129	1	2	20	1	68	habitatmap_stdized	3	13	201	15177
ASEP002	ASE	Assels	101075	191870	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.68	6.93	32281	70% gh; 30% rbbmc	4090	1	2	30	1	87	habitatmap_stdized	2	12	201	56698
ASEP003	ASE	Assels	101001	191976	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.21	6.43	33774	80% gh; 20% rbbmc	5140	1	2	20	1	87	habitatmap_stdized	2	12	201	16393
ASEP103	ASE	Assels	101000	191976	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.73	6.9	33774	80% gh; 20% rbbmc	5140	1	2	20	1	87	habitatmap_stdized	2	12	201	16393
ASHP013	ASH	Achter Schoonhoven	184589	186224	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.457	14.55	6361	70% gh; 20% rbbhf; 10% 6430_hf	3937	1	2	20	1	69	habitatmap_stdized	3	13	342	38672
ASHP013	ASH	Achter Schoonhoven	184589	186224	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.457	14.55	6361	70% gh; 20% rbbhf; 10% 6430_hf	3937	1	3	10	1	59	habitatmap_stdized	3	13	342	38672
ASHP023	ASH	Achter Schoonhoven	185344	186327	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.738	15.492	12565	50% rbbhf; 50% gh	1311	2	1	50	1	70	habitatmap_stdized + interpretation	3	13	342	504
ASSP005	ASS	Assebroekse meersen	73910	208646	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.05	4.28	5928	70% rbbzil; 30% rbbhc	4438	1	1	70	1	75	habitatmap_stdized	3	13	961	80272
ASSP005	ASS	Assebroekse meersen	73910	208646	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.05	4.28	5928	70% rbbzil; 30% rbbhc	4438	1	2	30	1	68	habitatmap_stdized	3	13	961	80272
ASSP006	ASS	Assebroekse meersen	74033	208916	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.03	4.44	35579	70% rbbhc; 30% gh	4176	1	1	70	1	68	habitatmap_stdized	3	13	961	54187
ASSP009	ASS	Assebroekse meersen	73613	208584	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	4.24	15096	60% rbbzil; 20% rbbhc; 20% gh	3047	1	1	60	1	75	habitatmap_stdized	3	13	961	114547
ASSP009	ASS	Assebroekse meersen	73613	208584	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.06	4.24	15096	60% rbbzil; 20% rbbhc; 20% gh	3047	1	2	20	1	68	habitatmap_stdized	3	13	961	114547
ASSP010	ASS	Assebroekse meersen	73583	208390	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.02	4.33	15096	60% rbbzil; 20% rbbhc; 20% gh	3047	1	1	60	1	75	habitatmap_stdized	3	13	961	114547
ASSP010	ASS	Assebroekse meersen	73583	208390	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.02	4.33	15096	60% rbbzil; 20% rbbhc; 20% gh	3047	1	2	20	1	68	habitatmap_stdized	3	13	961	114547
ASSP012	ASS	Assebroekse meersen	72225	209204	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.02	5.34	50219	100% rbbhc	255	1	1	100	1	68	habitatmap_stdized	3	13	961	2447
ASSP013	ASS	Assebroekse meersen	71484	208585	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.97	5.26	54703	60% 9120; 20% 9160; 20% 91E0_vm	2026	1	2	20	1	98	habitatmap_stdized	4	14	961	91562
ASSP013	ASS	Assebroekse meersen	71484	208585	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.97	5.26	54703	60% 9120; 20% 9160; 20% 91E0_vm	2026	1	3	20	1	104	habitatmap_stdized	1	11	961	91562
ASSP014	ASS	Assebroekse meersen	72187	208338	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	0.98	58435	100% 91E0_va	219	1	1	100	1	102	habitatmap_stdized	4	14	961	14388
ASSP105	ASS	Assebroekse meersen	73910	208647	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.05	4.53	5928	70% rbbzil; 30% rbbhc	4438	1	1	70	1	75	habitatmap_stdized	3	13	961	80272
ASSP105	ASS	Assebroekse meersen	73910	208647	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.05	4.53	5928	70% rbbzil; 30% rbbhc	4438	1	2	30	1	68	habitatmap_stdized	3	13	961	80272
ASSP106	ASS	Assebroekse meersen	74033	208916	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.2	4.65	35579	70% rbbhc; 30% gh	4176	1	1	70	1	68	habitatmap_stdized	3	13	961	54187
ASSP109	ASS	Assebroekse meersen	73613	208584	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.22	4.28	15096	60% rbbzil; 20% rbbhc; 20% gh	3047	1	1	60	1	75	habitatmap_stdized	3	13	961	114547
