loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
WERP012	WER	De Werft	192332	194448	2	1	1	1	1	822	2.21	0	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	201	1	0	1	3	1	0.11	2.32	0
WESP008	WES	Westhoek	22617	198715	2	1	1	1	4	177	1.2	5.85	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	207	1	0	1	3	1	6.25	1.85	0.5
WESP093	WES	Westhoek	22509	198809	2	1	1	1	4	177	1.84	5.58	4	NA	NA	NA	3	2	NA	NA	NA	NA	NA	211	1	0	1	3	1	5.66	2.17	0.5
ZABP014	ZAB	Zammelsbroek	191421	198803	2	1	1	1	3	822	1.3	14.82	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	224	1	0	1	3	1	16.04	2.72	0.4
ZEBP009	ZEB	Zeebrugge	69111	219114	2	1	1	1	2	693	1.92	3.02	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	227	1	0	1	3	1	3.6	3	1
ZUVP019	ZUV	Zuunvallei	142606	164589	2	1	1	1	4	441	2	23.92	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	232	1	0	-1	5	4	24.47	3.05	1
ZWAP141	ZWA	Zwarte Beek	216785	198435	2	1	1	1	1	950	1.96	52.52	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	234	1	0	1	3	1	52.86	2.45	0.3
ZWAP228	ZWA	Zwarte Beek	217381	197149	2	1	1	1	3	950	1.14	63.265	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	238	1	0	1	3	1	63.655	1.68	0.3
ZWAP231	ZWA	Zwarte Beek	220110	198031	2	1	1	1	3	210	1.91	66.285	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	239	1	0	1	3	1	66.695	2.47	0.3
ZWAP303	ZWA	Zwarte Beek	213435	204022	2	1	1	1	3	630	0.8	45.684	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	243	1	0	1	3	1	46.214	1.58	0.5
