loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
TEUP019	TEU	De Teut	222593	189365	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	722	1.73	59.65	13	2010	2014	5	3
TEUP026	TEU	De Teut	224931	188926	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	722	1.4	63.551	13	2008	2016	9	3
TEUP028	TEU	De Teut	224721	188606	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	1.1	60.716	11	2008	2016	6	3
TEUP043	TEU	De Teut	223696	188700	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	1.56	60.053	11	2007	2016	10	3
TEUP044	TEU	De Teut	223773	188744	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	0.96	60.329	11	2008	2016	9	3
TEUP045	TEU	De Teut	225036	188792	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	722	1.04	62.697	13	2008	2014	7	3
TEUP046	TEU	De Teut	225067	188690	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	1.19	60.838	11	2008	2016	7	3
TEUP047	TEU	De Teut	225211	188652	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	722	1.17	61.304	11	2008	2016	9	3
TIEP013	TIE	Militair domein Tielen	188220	218314	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	1014	2.16	18.685	11	2006	2006	1	3
TLAP001	TLA	Terlaemen & Weijerman	213998	188072	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	2.27	32.923	11	NA	NA	0	3
TLAP002	TLA	Terlaemen & Weijerman	214024	187912	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	0.78	33.076	11	NA	NA	0	3
TLAP003	TLA	Terlaemen & Weijerman	214025	187912	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	1.46	33.033	11	NA	NA	0	3
TORP018	TOR	Torfbroek	162023	179712	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	198	0.42	16.963	14	2005	2016	12	3
