loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	typegroup_name	source	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
ASBP013	ASB	Asbeek	238508	179714	2	1	1	1	649887_v2014	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	10	1	rbbmr	2	1010	15467	1.63	68.851	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	3	1	3	1	69.301	2.23	0.3
ASBP013	ASB	Asbeek	238508	179714	2	1	1	1	649887_v2014	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	10	1	rbbsm	3	1010	15467	1.63	68.851	60% 91E0_vo; 20% 9190; 10% rbbsm; 10% rbbmr	2	1	3	1	69.301	2.23	0.3
ASBP014	ASB	Asbeek	238536	179647	2	1	1	1	649746_v2014	85% gh; 15% 7140_meso	15	1	7140_meso	1	1010	7231	1.17	65.866	85% gh; 15% 7140_meso	5	1	3	1	66.436	1.89	0.3
ASBP015	ASB	Asbeek	238577	179552	2	1	1	1	650341_v2014	70% 91E0_vo; 30% rbbsm	70	1	91E0_vo	1	1010	31562	1.44	68.552	70% 91E0_vo; 30% rbbsm	5	1	3	1	69.052	2.09	0.3
ASBP015	ASB	Asbeek	238577	179552	2	1	1	1	650341_v2014	70% 91E0_vo; 30% rbbsm	30	1	rbbsm	3	1010	31562	1.44	68.552	70% 91E0_vo; 30% rbbsm	2	1	3	1	69.052	2.09	0.3
ASBP016	ASB	Asbeek	238480	179864	2	1	1	1	662399_v2014	70% 91E0_vo; 30% rbbsm	70	1	91E0_vo	1	1010	12887	2.24	72.819	70% 91E0_vo; 30% rbbsm	5	1	3	1	73.419	2.99	0.3
ASBP016	ASB	Asbeek	238480	179864	2	1	1	1	662399_v2014	70% 91E0_vo; 30% rbbsm	30	1	rbbsm	3	1010	12887	2.24	72.819	70% 91E0_vo; 30% rbbsm	2	1	3	1	73.419	2.99	0.3
ASEP001	ASE	Assels	101168	191959	2	1	1	1	569367_v2014	80% gh; 20% rbbhc	20	1	rbbhc	3	201	15177	1.88	6.06	80% gh; 20% rbbhc	2	1	4	2	6.26	2.33	0.5
ASEP002	ASE	Assels	101075	191870	2	1	1	1	570185_v2014	70% gh; 30% rbbmc	30	1	rbbmc	2	201	56698	1.43	6.06	70% gh; 30% rbbmc	3	1	4	2	6.93	2.55	0.5
ASEP003	ASE	Assels	101001	191976	2	1	1	1	573291_v2014	80% gh; 20% rbbmc	20	1	rbbmc	2	201	16393	0.96	5.97	80% gh; 20% rbbmc	3	1	4	2	6.43	1.67	0.5
ASEP103	ASE	Assels	101000	191976	2	1	1	1	573291_v2014	80% gh; 20% rbbmc	20	1	rbbmc	2	201	16393	2.48	5.96	80% gh; 20% rbbmc	3	1	4	2	6.9	3.67	0.5
ASHP013	ASH	Achter Schoonhoven	184589	186224	2	1	1	1	442771_v2018	70% gh; 20% rbbhf; 10% 6430_hf	10	1	6430_hf	3	342	38672	2.607	14.007	70% gh; 20% rbbhf; 10% 6430_hf	2	1	1	6	14.55	3.4	0.5
ASHP013	ASH	Achter Schoonhoven	184589	186224	2	1	1	1	442771_v2018	70% gh; 20% rbbhf; 10% 6430_hf	20	1	rbbhf	3	342	38672	2.607	14.007	70% gh; 20% rbbhf; 10% 6430_hf	2	1	1	6	14.55	3.4	0.5
ASHP023	ASH	Achter Schoonhoven	185344	186327	2	1	1	1	489495_v2018	50% rbbhf; 50% gh	50	1	rbbhfl	3	342	504	1.488	14.73	50% rbbhfl; 50% gh	2	2	3	1	15.492	2.5	0.5
ASSP005	ASS	Assebroekse meersen	73910	208646	2	1	1	1	437853_v2018	70% rbbzil; 30% rbbhc	30	1	rbbhc	3	961	80272	0.575	4.17	70% rbbzil; 30% rbbhc	2	1	3	1	4.28	1.16	0.95
ASSP005	ASS	Assebroekse meersen	73910	208646	2	1	1	1	437853_v2018	70% rbbzil; 30% rbbhc	70	1	rbbzil	3	961	80272	0.575	4.17	70% rbbzil; 30% rbbhc	2	1	3	1	4.28	1.16	0.95
ASSP006	ASS	Assebroekse meersen	74033	208916	2	1	1	1	581420_v2018	70% rbbhc; 30% gh	70	1	rbbhc	3	961	54187	0.55	4.31	70% rbbhc; 30% gh	2	1	3	1	4.44	1.16	0.96
ASSP009	ASS	Assebroekse meersen	73613	208584	2	1	1	1	505945_v2018	60% rbbzil; 20% rbbhc; 20% gh	20	1	rbbhc	3	961	114547	0.58	4.11	60% rbbzil; 20% rbbhc; 20% gh	2	1	7	7	4.24	1.19	0.96
ASSP009	ASS	Assebroekse meersen	73613	208584	2	1	1	1	505945_v2018	60% rbbzil; 20% rbbhc; 20% gh	60	1	rbbzil	3	961	114547	0.58	4.11	60% rbbzil; 20% rbbhc; 20% gh	2	1	7	7	4.24	1.19	0.96
ASSP010	ASS	Assebroekse meersen	73583	208390	2	1	1	1	505945_v2018	60% rbbzil; 20% rbbhc; 20% gh	20	1	rbbhc	3	961	114547	0.54	4.2	60% rbbzil; 20% rbbhc; 20% gh	2	1	7	7	4.33	1.15	0.96
ASSP010	ASS	Assebroekse meersen	73583	208390	2	1	1	1	505945_v2018	60% rbbzil; 20% rbbhc; 20% gh	60	1	rbbzil	3	961	114547	0.54	4.2	60% rbbzil; 20% rbbhc; 20% gh	2	1	7	7	4.33	1.15	0.96
ASSP012	ASS	Assebroekse meersen	72225	209204	2	1	1	1	626996_v2014	100% rbbhc	100	1	rbbhc	3	961	2447	0.87	4.81	100% rbbhc	2	1	1	6	5.34	1.55	0.3
ASSP013	ASS	Assebroekse meersen	71484	208585	2	1	1	1	637240_v2014	60% 9120; 20% 9160; 20% 91E0_vm	20	1	9160	4	961	91562	1.82	4.91	60% 9120; 20% 9160; 20% 91E0_vm	4	1	3	1	5.26	2.32	0.3
ASSP013	ASS	Assebroekse meersen	71484	208585	2	1	1	1	637240_v2014	60% 9120; 20% 9160; 20% 91E0_vm	20	1	91E0_vm	1	961	91562	1.82	4.91	60% 9120; 20% 9160; 20% 91E0_vm	5	1	3	1	5.26	2.32	0.3
ASSP014	ASS	Assebroekse meersen	72187	208338	2	1	1	1	645013_v2014	100% 91E0_va	100	1	91E0_va	4	961	14388	1.85	0	100% 91E0_va	4	1	7	7	0.98	2.98	0.3
ASSP105	ASS	Assebroekse meersen	73910	208647	2	1	1	1	437853_v2018	70% rbbzil; 30% rbbhc	30	1	rbbhc	3	961	80272	1.85	4.18	70% rbbzil; 30% rbbhc	2	1	3	1	4.53	2.4	0.4
ASSP105	ASS	Assebroekse meersen	73910	208647	2	1	1	1	437853_v2018	70% rbbzil; 30% rbbhc	70	1	rbbzil	3	961	80272	1.85	4.18	70% rbbzil; 30% rbbhc	2	1	3	1	4.53	2.4	0.4
