loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
MSBP007	194938	187299	2	60% rbbmr; 20% 6430_hf,rbbhf,bos; 20% gh	rbbhf	0	20	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSBP007	194938	187299	2	60% rbbmr; 20% 6430_hf,rbbhf,bos; 20% gh	rbbmr	1	60	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	60% 91E0_va; 20% 9130_end; 20% 91E0_vc	9130_end	1	20	4	4	95	95	10	-1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	100% 9130_end	9130_end	1	100	4	4	95	95	10	-1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	60% 91E0_va; 20% 9130_end; 20% 91E0_vc	91E0_va	1	60	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	70% 91E0_va; 30% 91E0_vc	91E0_va	1	70	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	60% 91E0_va; 20% 9130_end; 20% 91E0_vc	91E0_vc	1	20	1	5	103	103	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEIP001	128122	167393	4	70% 91E0_va; 30% 91E0_vc	91E0_vc	1	30	1	5	103	103	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORCP011	139864	196932	3	100% rbbhc	rbbhc	1	100	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORCP012	139863	196973	3	100% rbbhc	rbbhc	1	100	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP003	109730	163542	4	80% 91E0_va; 10% 91E0_vc; 10% 9130_end	9130_end	1	10	4	4	95	95	10	1	2	54	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP003	109730	163542	4	80% 91E0_va; 10% 91E0_vc; 10% 9130_end	91E0_va	1	80	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP003	109730	163542	4	80% 91E0_va; 10% 91E0_vc; 10% 9130_end	91E0_vc	1	10	1	5	103	103	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASP002	120111	162861	4	70% 91E0_va; 30% 91E0_vc	91E0_va	1	70	4	4	102	102	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASP002	120111	162861	4	70% 91E0_va; 30% 91E0_vc	91E0_vc	1	30	1	5	103	103	10	-1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ROTP003	200403	185618	2	50% rbbmr; 30% rbbmc; 20% rbbhfl	rbbhfl	1	20	3	2	118	70	7	1	1	38	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ROTP003	200403	185618	2	50% rbbmr; 30% rbbmc; 20% rbbhfl	rbbmc	1	30	2	3	87	87	8	1	1	48	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ROTP003	200403	185618	2	100% rbbmc	rbbmc	1	100	2	3	87	87	8	1	1	48	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ROTP003	200403	185618	2	50% rbbmr; 30% rbbmc; 20% rbbhfl	rbbmr	1	50	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCPP042	205315	204593	3	100% rbbhfl	rbbhfl	1	100	3	2	118	70	7	1	1	38	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCPP051	206919	205056	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SILP004	164843	178240	4	100% 9160	9160	1	100	4	4	98	98	10	1	1	56	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNOP129	183331	169489	4	100% 91E0_va	91E0_va	1	100	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SWPP032	94675	169402	4	100% 6510_hua	6510_hua	1	100	4	4	64	64	7	1	2	34	7	3	3	3	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEUP045	225036	188792	3	70% 4010; 30% 7140_oli	4010	1	70	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEUP045	225036	188792	3	70% 4010; 30% 7140_oli	7140_oli	1	30	1	5	82	82	8	1	2	43	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIEP026	189050	217720	1	90% 91E0_vm; 10% rbbso	91E0_vm	1	90	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIEP026	189050	217720	1	90% 91E0_vm; 10% rbbso	rbbso	1	10	3	2	110	110	10	1	1	62	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLAP003	214025	187912	1	98% 7140_oli; 2% 7150	7140_oli	1	98	1	5	82	82	8	-1	2	43	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLAP003	214025	187912	1	98% 7140_oli; 2% 7150	7150	1	2	3	2	83	83	8	-1	1	44	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TORP018	162023	179712	4	70% 91E0,9160; 30% 91E0_vm	9160	0	70	4	4	98	98	10	1	1	56	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TORP018	162023	179712	4	70% 91E0,9160; 30% 91E0_vm	91E0_vm	1	30	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TYDP204	33222	203448	4	100% 2190_overig	2190_overig	1	100	4	4	23	23	2	1	2	13	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UKPP029	64241	219799	3	100% 1330_hpr	1330_hpr	1	100	3	2	10	10	1	1	2	5	1	3	3	3	3	3	3	3	3	3	DI	Binnendijks	NA	NA	NA	NA	NA	NA	NA
VDBP506	202732	191923	3	100% rbbhc	rbbhc	1	100	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
VDBP513	202202	191476	3	70% rbbhc; 30% rbbhf	rbbhc	1	70	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
VDBP513	202202	191476	3	70% rbbhc; 30% rbbhf	rbbhf	1	30	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VDBP514	202304	191370	2	100% rbbms	rbbms	1	100	2	3	89	89	8	1	1	50	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
