mean	sd	p02.5	p50	p97.5	jaar	simulatienr	intercept
3.6927011013031	0.057390321046114	3.57971377626098	3.69279888521072	3.80516611546329	2007	15	3.71337366104126
3.68194794654846	0.0583135448396206	3.56781803737751	3.68180263913393	3.79688421032318	2007	16	3.70851516723633
3.69579267501831	0.0579314529895782	3.58164754956573	3.69595558801477	3.80910282357716	2007	17	3.71745824813843
3.68249082565308	0.0623723529279232	3.56188713438458	3.68182497606398	3.80693758952701	2007	18	3.67099618911743
3.69304847717285	0.0566004477441311	3.58128628282621	3.69327090540112	3.80356342216629	2007	19	3.72992753982544
3.67367959022522	0.0570990592241287	3.56109513903821	3.67383849832184	3.78539602854052	2007	20	3.7100567817688
3.7347104549408	0.0568820387125015	3.6225271236656	3.73489720131297	3.8458595852434	2008	1	3.7223174571991
3.69866538047791	0.058705747127533	3.58435493449308	3.69836805231758	3.81478146186193	2008	2	3.70737457275391
3.71674585342407	0.0582292750477791	3.60189331502419	3.71694087360308	3.8305525071064	2008	3	3.71592688560486
3.7125141620636	0.0576744750142097	3.59771410969195	3.71306781486032	3.82427855348731	2008	4	3.69567036628723
3.68166160583496	0.0573738552629948	3.56845216174719	3.68185814188068	3.79380920281471	2008	5	3.69287395477295
3.72666764259338	0.0586838014423847	3.6107825443048	3.72690054281756	3.84126656311861	2008	6	3.72149610519409
3.71852231025696	0.0583447851240635	3.60349161818816	3.71869924131193	3.832596575627	2008	7	3.71941351890564
3.72952675819397	0.0576687753200531	3.61563831389267	3.72975411392976	3.8421923371238	2008	8	3.73004460334778
3.68217396736145	0.0594332814216614	3.56611762814146	3.68196086608183	3.79947290839869	2008	9	3.67714214324951
3.6766357421875	0.0562057048082352	3.56424879895899	3.67735902076268	3.7850574425363	2008	10	3.70199537277222
3.70907354354858	0.061073262244463	3.59059351204034	3.70856742030689	3.83048198198532	2008	11	3.68804025650024
3.71648049354553	0.0640075728297234	3.59329165577219	3.71557612666672	3.84493634931213	2008	12	3.68760991096497
3.72645044326782	0.0595787838101387	3.61017091032372	3.72619925556115	3.84406075211668	2008	13	3.72119665145874
3.70520067214966	0.0595502555370331	3.58768491904465	3.70542433117918	3.8214690109366	2008	14	3.70295977592468
3.71546149253845	0.0567930527031422	3.60347936088175	3.71561507425598	3.82660290834974	2008	15	3.71337366104126
3.71016573905945	0.0582370460033417	3.59614953300257	3.71003227559889	3.82491988253802	2008	16	3.70851516723633
3.71951460838318	0.0577108412981033	3.6056735384108	3.71972032547351	3.8322924106349	2008	17	3.71745824813843
3.70668244361877	0.0620257519185543	3.58655377038572	3.70610729598593	3.83019639129328	2008	18	3.67099618911743
3.71794986724854	0.056359127163887	3.60661446756755	3.71818322332776	3.82798134537553	2008	19	3.72992753982544
3.69855856895447	0.0568517446517944	3.58636145978865	3.69874636886725	3.80971104441079	2008	20	3.7100567817688
3.76618099212646	0.0565879717469215	3.65454973902178	3.76636855865323	3.8767803095334	2009	1	3.7223174571991
3.72400236129761	0.0584000945091248	3.60992261757725	3.72382351732651	3.83908832155863	2009	2	3.70737457275391
3.74511218070984	0.0580551326274872	3.63044297202071	3.74535711846792	3.85843769738334	2009	3	3.71592688560486
3.74065661430359	0.057285625487566	3.62656605211224	3.74121758652117	3.85163435180663	2009	4	3.69567036628723
3.70904755592346	0.0572197698056698	3.59596885595333	3.70929833302308	3.82075602343348	2009	5	3.69287395477295
3.75338459014893	0.0583551898598671	3.63801833068939	3.75365208019333	3.86727291494849	2009	6	3.72149610519409
