unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
198	WERP004	WER	De Werft	193302	194696	2	1	1	1	1	822	1.62	0	11	1	0	8	3	1	3	1	0.72	2.34	0
199	WERP005	WER	De Werft	193360	194613	2	1	1	1	3	822	1.65	0	13	1	0	3	3	1	3	1	0.65	2.3	0
200	WERP007	WER	De Werft	193544	194610	2	1	1	1	3	822	1.78	0	13	1	0	6	3	1	3	1	0.9	2.68	0
201	WERP009	WER	De Werft	193488	194562	2	1	1	1	1	822	1.73	0	11	1	0	9	3	1	3	1	0.54	2.27	0
202	WERP011	WER	De Werft	193419	194740	2	1	1	1	1	822	1.48	0	11	1	0	5	3	1	3	1	0.42	1.9	0
204	WESP001	WES	Westhoek	23482	199360	2	1	1	1	4	177	1.02	5.35	14	2	0	6	3	1	3	1	5.45	1.37	0.5
206	WESP003	WES	Westhoek	23288	198961	2	1	1	1	4	177	1.66	5.98	14	2	0	15	3	1	3	1	5.99	1.92	0.5
207	WESP005	WES	Westhoek	23086	198942	2	1	1	1	4	177	1.72	5.49	14	2	0	7	3	1	3	1	5.57	2.05	0.5
208	WESP007	WES	Westhoek	23034	198650	2	1	1	1	4	177	1.82	5.95	14	2	0	5	3	1	3	1	5.98	2.1	0.5
210	WESP014	WES	Westhoek	22737	199289	2	1	1	1	4	177	0.59	5.22	14	2	0	11	3	1	3	1	6.07	1.69	0.5
211	WESP018	WES	Westhoek	23813	199363	2	1	1	1	4	177	1.55	5.47	14	2	0	3	3	1	3	1	5.44	1.77	0.5
212	WESP078	WES	Westhoek	23436	199686	2	1	1	1	4	177	2.77	6.41	14	2	0	10	3	1	3	1	6.41	3.02	0.5
214	WESP097	WES	Westhoek	23408	198956	2	1	1	1	4	177	1.72	6.01	14	2	0	8	3	1	3	1	6.57	2.53	0.5
215	WESP111	WES	Westhoek	23304	198193	2	1	1	1	4	177	1.35	5.39	14	2	0	14	3	1	3	1	5.39	1.6	0.5
216	WESP119	WES	Westhoek	23171	198331	2	1	1	1	4	177	1.89	5.87	14	2	0	13	3	1	3	1	5.9	2.17	0.5
217	WESP132	WES	Westhoek	22965	199052	2	1	1	1	4	177	2.83	5.47	14	2	0	12	3	1	3	1	5.49	3.1	0.5
218	WESP134	WES	Westhoek	22885	198920	2	1	1	1	4	177	0.65	5.59	14	2	0	16	3	1	3	1	5.69	1	0.5
219	WESP141	WES	Westhoek	22742	198998	2	1	1	1	4	177	2.86	5.5	14	2	0	9	3	1	3	1	5.57	3.18	0.5
220	WESP302	WES	Westhoek	23338	199132	2	1	1	1	4	177	1.5	5.41	14	2	0	4	3	1	3	1	5.38	1.72	0.5
221	ZABP003	ZAB	Zammelsbroek	191644	198520	2	1	1	1	3	822	1.78	14.776	13	1	0	5	3	1	4	2	14.866	2.02	0.3
222	ZABP004	ZAB	Zammelsbroek	191712	198448	2	1	1	1	3	822	1.6	14.78	13	1	0	4	3	1	3	1	15.47	2.49	0.4
223	ZABP005	ZAB	Zammelsbroek	191734	198418	2	1	1	1	3	822	0.58	14.7	13	1	0	8	3	1	4	2	15.56	1.64	0.4
224	ZABP006	ZAB	Zammelsbroek	191153	198420	2	1	1	1	3	822	2.97	14.529	13	1	0	9	3	1	3	1	14.989	3.58	0.3
